"GeneA"	"GeneB"	"Connection"
"FADD"	"Caspase_8_(tetramer)/FADD/FADD_(complex)"	"component>"
"FADD"	"DR3/TRADD/FADD/TRAF2/RIP/Caspase_8/Caspase_10/APO-3L_(complex)"	"component>"
"FADD"	"DR3/TRADD/FADD/TRAF2/RIP/Caspase_8/Caspase_10_(complex)"	"component>"
"FADD"	"FADD/Casp-8/10_prodomain_(complex)"	"component>"
"FADD"	"FADD/Caspase_8_(complex)"	"component>"
"FADD"	"FADD/FADD/CASP8/CASP8_(complex)"	"component>"
"FADD"	"FADD/procaspase-8/10_(complex)"	"component>"
"FADD"	"FADD/procaspase-8/10_dimer_(complex)"	"component>"
"FADD"	"FAS/DAXX/FADD/Caspase_10/FAS_L_(complex)"	"component>"
"FADD"	"FAS/DAXX/FADD/Caspase_10_(complex)"	"component>"
"FADD"	"FAS/FADD/DAXX/ASK1/Caspase_8/Caspase_8/FAS_L_(complex)"	"component>"
"FADD"	"FAS/FADD/DAXX/Ask1/Caspase_8/Caspase_8/FASLG_(complex)"	"component>"
"FADD"	"FAS/FADD/DAXX/Ask1/Caspase_8/Caspase_8_(complex)"	"component>"
"FADD"	"FAS/FADD/DAXX/ASK1/Caspase_8/Caspase_8_(complex)"	"component>"
"FADD"	"FAS_L/FAS/DAXX/FADD/FAF1/Caspase_10_(complex)"	"component>"
"FADD"	"FASL/FAS_Receptor_Trimer/FADD_complex_(complex)"	"component>"
"FADD"	"FASLG/FAS_(trimer)/Btk_(complex)"	"component>"
"FADD"	"FASLG/FAS_(trimer)/FADD/FADD/CASP10/CASP10_(complex)"	"component>"
"FADD"	"FASLG/FAS_(trimer)/FADD/FADD/CASP10_p23/17/c-FLIPL_p43_(complex)"	"component>"
"FADD"	"FASLG/FAS_(trimer)/FADD/FADD/CASP8/CASP8_(complex)"	"component>"
"FADD"	"FASLG/FAS_(trimer)/FADD/FADD/CASP8/c-FLIPS_(complex)"	"component>"
"FADD"	"FASLG/FAS_(trimer)/FADD/FADD/CASP8_p43/c-FLIP_p43_(complex)"	"component>"
"FADD"	"FASLG/FAS_(trimer)/FADD/FADD/CFLIP_(complex)"	"component>"
"FADD"	"FASLG/FAS_(trimer)/FADD/FADD/RIP_(complex)"	"component>"
"FADD"	"FASLG/FAS_(trimer)/FADD/FADD_(complex)"	"component>"
"FADD"	"IPS-1/RIP-1/FADD_(complex)"	"component>"
"FADD"	"sTNF-alpha/TNFR1A/TRADD/TRAF2/FADD_(complex)"	"component>"
"FADD"	"TNF/TNF_R/FADD/TRADD/RIP/TRAF6_(complex)"	"component>"
"FADD"	"TNF_R/Caspase_2/TNF/FADD/TRADD/RIP/cIAP/TRAF1/TRAF2/ASK1/RAIDD_(complex)"	"component>"
"FADD"	"TNF_R/FADD/TRADD/RIP/TRAF6_(complex)"	"component>"
"FADD"	"TNFR1A/Caspase_2/TNF-alpha/FADD/TRADD/RIP/cIAP2/TRAF1/TRAF2/Ask1/RAIDD_(complex)"	"component>"
"FADD"	"TRAF2/TRADD/RIP1/FADD_(complex)"	"component>"
"FADD"	"TRAIL/TRAIL_receptor-2/FADD_complex_(complex)"	"component>"
"FADD"	"TRAIL/TRAILR1/DAP3/GTP/FADD_(complex)"	"component>"
"FADD"	"TRAIL/TRAILR1/FADD/TRADD/RIP/TRAF2_(complex)"	"component>"
"FADD"	"TRAIL/TRAILR1/FADD/TRADD/RIP_(complex)"	"component>"
"FADD"	"TRAIL/TRAILR1/FADD_(complex)"	"component>"
"FADD"	"TRAIL/TRAILR2/FADD/TRADD/RIP/TRAF2_(complex)"	"component>"
"FADD"	"TRAIL/TRAILR2/FADD/TRADD/RIP_(complex)"	"component>"
"FADD"	"TRAIL/TRAILR2/FADD_(complex)"	"component>"
"FADD/Casp-8/10_prodomain_(complex)"	"IPS-1/RIP-1/FADD/Casp-8/10_prodomain_(complex)"	"component>"
"FADD/procaspase-8/10_(complex)"	"IPS-1/RIP-1/FADD/procaspase-8/10_(complex)"	"component>"
"FADD/procaspase-8/10_dimer_(complex)"	"IPS-1/RIP-1/FADD/procaspase-8/10_dimer_(complex)"	"component>"
"FADK1/DCC_oligomer/Netrin_(complex)"	"Nterin-1/DCC_oligomer/pFADK1_(complex)"	"-a>"
"FAF1"	"FAS_L/FAS/DAXX/FADD/FAF1/Caspase_10_(complex)"	"component>"
"FAIM"	"NGF_(dimer)/TRKA/FAIM_(complex)"	"component>"
"FAIM2"	"FAS_(trimer)/LFG_(complex)"	"component>"
"FAK/GRAF_(complex)"	"RHOA/GDP_(complex)"	"-a|"
"FAK/GRB2/SOS1_(complex)"	"HRAS/GTP_(complex)"	"-a|"
"FAK/p130_Cas/Paxillin_(complex)"	"cell_adhesion_(abstract)"	"-a>"
"FAK/p130_Cas/Paxillin_(complex)"	"RAP1B/GTP_(complex)"	"-a|"
"FAK/p130CAS/SRC/CSK/paxillin/actin_(complex)"	"cell_migration_(abstract)"	"-a>"
"FAK/p130CAS/SRC/CSK/paxillin/actin_(complex)"	"cell-cell_adhesion_(abstract)"	"-a>"
"FAK/Paxillin_(complex)"	"cell_migration_(abstract)"	"-a>"
"FAK/Src-Yes-Fyn/Endophilin-A2_(complex)"	"endocytosis_(abstract)"	"-a|"
"FAK/Src-Yes-Fyn/ERK2/m-calpain_(complex)"	"negative_regulation_of_cell_adhesion_involved_in_substrate-bound_cell_migration_(abstract)"	"-a>"
"FAK/Src-Yes-Fyn/GRB2/SOS1_(complex)"	"RRAS/GTP_(complex)"	"-a|"
"FAK/Src-Yes-Fyn/GRB7_(complex)"	"cell_migration_(abstract)"	"-a>"
"FAK/Src-Yes-Fyn/JIP3_(complex)"	"substrate_adhesion-dependent_cell_spreading_(abstract)"	"-a>"
"FAK/Src-Yes-Fyn/p130_CAS/CRK/DOCK1/ELMO1_(complex)"	"RAC1/GTP_(complex)"	"-a|"
"FAK/Src-Yes-Fyn/p130_CAS/CRK_(complex)"	"FAK/Src-Yes-Fyn/p130_CAS/CRK/DOCK1/ELMO1_(complex)"	"component>"
"FAK/Src-Yes-Fyn/p130_CAS/CRK_(complex)"	"RAPGEF1"	"-a|"
"FAK/Src-Yes-Fyn/p130_CAS_(complex)"	"FAK/Src-Yes-Fyn/p130_CAS/CRK_(complex)"	"component>"
"FAK/Src-Yes-Fyn/p130_CAS_(complex)"	"FAK/Src-Yes-Fyn/p130_CAS/NCK1-2_(complex)"	"component>"
"FAK/Src-Yes-Fyn/Paxillin/PAK1/betaPIX/PKL/NCK1-2_(complex)"	"establishment_of_cell_polarity_(abstract)"	"-a>"
"FAK/Src-Yes-Fyn/Paxillin_(complex)"	"FAK/Src-Yes-Fyn/Paxillin/PAK1/betaPIX/PKL/NCK1-2_(complex)"	"component>"
"FAK/Src-Yes-Fyn/RasGAP/p190RhoGAP_(complex)"	"RHOA/GDP_(complex)"	"-a|"
"FAK/Src-Yes-Fyn/RasGAP_(complex)"	"FAK/Src-Yes-Fyn/RasGAP/p190RhoGAP_(complex)"	"component>"
"FAK/Src-Yes-Fyn_(complex)"	"ACTN1"	"-a|"
"FAK/Src-Yes-Fyn_(complex)"	"ARHGEF7"	"-a|"
"FAK/Src-Yes-Fyn_(complex)"	"BMX"	"-a|"
"FAK/Src-Yes-Fyn_(complex)"	"FAK/Src-Yes-Fyn/alphav/beta5_Integrin_(complex)"	"component>"
"FAK/Src-Yes-Fyn_(complex)"	"FAK/Src-Yes-Fyn/Endophilin-A2_(complex)"	"component>"
"FAK/Src-Yes-Fyn_(complex)"	"FAK/Src-Yes-Fyn/ERK2/m-calpain_(complex)"	"component>"
"FAK/Src-Yes-Fyn_(complex)"	"FAK/Src-Yes-Fyn/GRB2/SOS1_(complex)"	"component>"
"FAK/Src-Yes-Fyn_(complex)"	"FAK/Src-Yes-Fyn/GRB7_(complex)"	"component>"
"FAK/Src-Yes-Fyn_(complex)"	"FAK/Src-Yes-Fyn/JIP3_(complex)"	"component>"
"FAK/Src-Yes-Fyn_(complex)"	"FAK/Src-Yes-Fyn/p130_CAS_(complex)"	"component>"
"FAK/Src-Yes-Fyn_(complex)"	"FAK/Src-Yes-Fyn/Paxillin_(complex)"	"component>"
"FAK/Src-Yes-Fyn_(complex)"	"FAK/Src-Yes-Fyn/RasGAP_(complex)"	"component>"
"FAK/Src-Yes-Fyn_(complex)"	"FAK/Src-Yes-Fyn/Src/PTPD1_(complex)"	"component>"
"FAK/Src-Yes-Fyn_(complex)"	"FAK/Src-Yes-Fyn/Vinculin_(complex)"	"component>"
"FAK/Src-Yes-Fyn_(complex)"	"PAK1/betaPIX/PKL/NCK1-2_(complex)"	"-a|"
"FAK/Src-Yes-Fyn_(complex)"	"PLCG1"	"-a|"
"FAK/Vinculin_(complex)"	"cell_migration_(abstract)"	"-a>"
"FAK1/Paxillin_(complex)"	"TRIP6/p130_Cas/FAK1/Paxillin_(complex)"	"component>"
"FAM120B"	"RXR_alpha/CCPG_(complex)"	"component>"
"AMER1"	"Axin/CK1alpha/GSK3B/phospho-APC_(20_aa_repeat_region)/PP2A/FAM123B_complex_(complex)"	"component>"
"FAM13A"	"GAP_proteins_(family)"	"member>"
"FAM13B"	"GAP_proteins_(family)"	"member>"
"ABRAXAS1"	"MRN_complex/ATM/MDC1/H2AX/RNF8/53BP1/BRCA1/ABRA1/RAP80_(complex)"	"component>"
"ABRAXAS1"	"MRN_complex/ATM/MDC1/H2AX/RNF8/53BP1/BRCA1/ABRA1_(complex)"	"component>"
"FAN1"	"FANCD2/FANCI/FAN1_(complex)"	"component>"
"FANCA"	"FA_complex/FANCD2/Ubiquitin_(complex)"	"component>"
"FANCA"	"FA_complex/FANCD2/ubiquitin_(complex)"	"component>"
"FANCA"	"FA_complex_(complex)"	"component>"
"FANCA"	"FA_core_complex/FANCM/FAAP24/MHF1/MHF2/BLM/TOP3A/BLAP75_(complex)"	"component>"
"FANCA"	"FA_core_complex_(complex)"	"component>"
"FANCA"	"FANCA/FANCB/FANCC/FANCF/FANCG/FANCL/UBE2T/HES1/FAAP100_(complex)"	"component>"
"FANCB"	"FA_core_complex/FANCM/FAAP24/MHF1/MHF2/BLM/TOP3A/BLAP75_(complex)"	"component>"
"FANCB"	"FA_core_complex_(complex)"	"component>"
"FANCB"	"FANCA/FANCB/FANCC/FANCF/FANCG/FANCL/UBE2T/HES1/FAAP100_(complex)"	"component>"
"FANCC"	"FA_complex/FANCD2/Ubiquitin_(complex)"	"component>"
"FANCC"	"FA_complex/FANCD2/ubiquitin_(complex)"	"component>"
"FANCC"	"FA_complex_(complex)"	"component>"
"FANCC"	"FA_core_complex/FANCM/FAAP24/MHF1/MHF2/BLM/TOP3A/BLAP75_(complex)"	"component>"
"FANCC"	"FA_core_complex_(complex)"	"component>"
"FANCC"	"FANCA/FANCB/FANCC/FANCF/FANCG/FANCL/UBE2T/HES1/FAAP100_(complex)"	"component>"
"FANCD2"	"DNA_damage_checkpoint_(abstract)"	"-a>"
"FANCD2"	"FA_complex/FANCD2/Ubiquitin_(complex)"	"component>"
"FANCD2"	"FA_complex/FANCD2/ubiquitin_(complex)"	"component>"
"FANCD2"	"FA_core_complex_(complex)"	"-a>"
"FANCD2"	"FANCD_and_ub-FANCI-bound_chromatin_(complex)"	"component>"
"FANCD2"	"FANCD2/FANCI/BRCA2/PALB2_(complex)"	"component>"
"FANCD2"	"FANCD2/FANCI/FAN1_(complex)"	"component>"
"FANCD2"	"FANCD2/FANCI/H2AX_(complex)"	"component>"
"FANCD2"	"FANCD2/FANCI_(complex)"	"component>"
"FANCD2"	"FANCD2/ubiquitin_(complex)"	"component>"
"FANCD2"	"FANCG/BRCA2/FANCD2/XRCC3_(complex)"	"component>"
"FANCD2"	"G1/S_transition_checkpoint_(abstract)"	"-a>"
"FANCD2"	"mono-ubiquitinated_FANCD2_(complex)"	"component>"
"FANCD2"	"mono-ubiquitinated_FANCI_(complex)"	"-a>"
"FANCD2/FANCI/BRCA2/PALB2_(complex)"	"regulation_of_double-strand_break_repair_via_homologous_recombination_(abstract)"	"-a>"
"FANCD2/FANCI/FAN1_(complex)"	"DNA_repair_(abstract)"	"-a>"
"FANCD2/FANCI/FAN1_(complex)"	"regulation_of_double-strand_break_repair_via_homologous_recombination_(abstract)"	"-a>"
"FANCD2/FANCI_(complex)"	"FANCD2/FANCI/BRCA2/PALB2_(complex)"	"component>"
"FANCD2/FANCI_(complex)"	"FANCD2/FANCI/FAN1_(complex)"	"component>"
"FANCD2/FANCI_(complex)"	"FANCD2/FANCI/H2AX_(complex)"	"component>"
"FANCD2/ubiquitin_(complex)"	"DNA_replication_termination_(abstract)"	"-a>"
"FANCD2/ubiquitin_(complex)"	"FA_complex/FANCD2/ubiquitin_(complex)"	"component>"
"FANCD2/ubiquitin_(complex)"	"regulation_of_DNA_replication_(abstract)"	"-a>"
"FANCE"	"FA_complex/FANCD2/Ubiquitin_(complex)"	"component>"
"FANCE"	"FA_complex/FANCD2/ubiquitin_(complex)"	"component>"
"FANCE"	"FA_complex_(complex)"	"component>"
"FANCE"	"FA_core_complex/FANCM/FAAP24/MHF1/MHF2/BLM/TOP3A/BLAP75_(complex)"	"component>"
"FANCE"	"FA_core_complex_(complex)"	"component>"
"FANCF"	"FA_complex/FANCD2/Ubiquitin_(complex)"	"component>"
"FANCF"	"FA_complex/FANCD2/ubiquitin_(complex)"	"component>"
"FANCF"	"FA_complex_(complex)"	"component>"
"FANCF"	"FA_core_complex/FANCM/FAAP24/MHF1/MHF2/BLM/TOP3A/BLAP75_(complex)"	"component>"
"FANCF"	"FA_core_complex_(complex)"	"component>"
"FANCF"	"FANCA/FANCB/FANCC/FANCF/FANCG/FANCL/UBE2T/HES1/FAAP100_(complex)"	"component>"
"FANCG"	"FA_complex/FANCD2/Ubiquitin_(complex)"	"component>"
"FANCG"	"FA_complex/FANCD2/ubiquitin_(complex)"	"component>"
"FANCG"	"FA_complex_(complex)"	"component>"
"FANCG"	"FA_core_complex/FANCM/FAAP24/MHF1/MHF2/BLM/TOP3A/BLAP75_(complex)"	"component>"
"FANCG"	"FA_core_complex_(complex)"	"component>"
"FANCG"	"FANCA/FANCB/FANCC/FANCF/FANCG/FANCL/UBE2T/HES1/FAAP100_(complex)"	"component>"
"FANCG"	"FANCG/BRCA2/FANCD2/XRCC3_(complex)"	"component>"
"FANCG/BRCA2/FANCD2/XRCC3_(complex)"	"regulation_of_double-strand_break_repair_via_homologous_recombination_(abstract)"	"-a>"
"FANCI"	"FA_core_complex_(complex)"	"-a>"
"FANCI"	"FANCD2/FANCI/BRCA2/PALB2_(complex)"	"component>"
"FANCI"	"FANCD2/FANCI/FAN1_(complex)"	"component>"
"FANCI"	"FANCD2/FANCI/H2AX_(complex)"	"component>"
"FANCI"	"FANCD2/FANCI_(complex)"	"component>"
"FANCI"	"mono-ubiquitinated_FANCD2_(complex)"	"-a>"
"FANCI"	"mono-ubiquitinated_FANCI_(complex)"	"component>"
"FANCI"	"UBE2T"	"-a>"
"FANCJ/BLM/TOP3A/BLAP75_(complex)"	"Sister_Chromatid_Exchange_Process_(abstract)"	"-a|"
"FANCL"	"FA_complex/FANCD2/Ubiquitin_(complex)"	"component>"
"FANCL"	"FA_complex_(complex)"	"component>"
"FANCL"	"FA_core_complex/FANCM/FAAP24/MHF1/MHF2/BLM/TOP3A/BLAP75_(complex)"	"component>"
"FANCL"	"FA_core_complex_(complex)"	"component>"
"FANCL"	"FANCA/FANCB/FANCC/FANCF/FANCG/FANCL/UBE2T/HES1/FAAP100_(complex)"	"component>"
"FANCM"	"FA_core_complex/FANCM/FAAP24/MHF1/MHF2/BLM/TOP3A/BLAP75_(complex)"	"component>"
"FANCM"	"FA_core_complex_(complex)"	"component>"
"FANCM"	"FANCM/FAAP24/MHF1/MHF2_(complex)"	"component>"
"FANCM/FAAP24/MHF1/MHF2_(complex)"	"FA_core_complex/FANCM/FAAP24/MHF1/MHF2/BLM/TOP3A/BLAP75_(complex)"	"component>"
"FANCM/FAAP24/MHF1/MHF2_(complex)"	"FA_core_complex_(complex)"	"-a|"
"FANCM/FAAP24/MHF1/MHF2_(complex)"	"MHF1/MHF2_(complex)"	"component>"
"FARP1"	"RHOA/GTP_(complex)"	"-a|"
"FARP2"	"CDC42/GTP_(complex)"	"-a|"
"FARP2"	"FARP2/PIP5KIgamma_(complex)"	"component>"
"FARP2"	"Plexin-A/Fyn/FARP2_(complex)"	"component>"
"FARP2"	"RAC1-GTP_(complex)"	"-a>"
"FAS"	"FAS/FADD/DAXX/Ask1/Caspase_8/Caspase_8/FASLG_(complex)"	"component>"
"FAS"	"FAS/FADD/DAXX/Ask1/Caspase_8/Caspase_8_(complex)"	"component>"
"FAS"	"FAS_(trimer)/LFG_(complex)"	"component>"
"FAS"	"FAS_(trimer)_(complex)"	"component>"
"FAS"	"FASL/FAS_Receptor_monomer_(complex)"	"component>"
"FAS"	"FASLG/FAS_(trimer)/Btk_(complex)"	"component>"
"FAS"	"FASLG/FAS_(trimer)/FADD/FADD/CASP10/CASP10_(complex)"	"component>"
"FAS"	"FASLG/FAS_(trimer)/FADD/FADD/CASP10_p23/17/c-FLIPL_p43_(complex)"	"component>"
"FAS"	"FASLG/FAS_(trimer)/FADD/FADD/CASP8/CASP8_(complex)"	"component>"
"FAS"	"FASLG/FAS_(trimer)/FADD/FADD/CASP8/c-FLIPS_(complex)"	"component>"
"FAS"	"FASLG/FAS_(trimer)/FADD/FADD/CASP8_p43/c-FLIP_p43_(complex)"	"component>"
"FAS"	"FASLG/FAS_(trimer)/FADD/FADD/CFLIP_(complex)"	"component>"
"FAS"	"FASLG/FAS_(trimer)/FADD/FADD/RIP_(complex)"	"component>"
"FAS"	"FASLG/FAS_(trimer)/FADD/FADD_(complex)"	"component>"
"FAS"	"FASLG/FAS_(trimer)/Src/Syk_(complex)"	"component>"
"FAS"	"FASLG/FAS_(trimer)_(complex)"	"component>"
"FAS/DAXX/FADD/Caspase_10/FAS_L_(complex)"	"FAS_L/FAS/DAXX/FADD/FAF1/Caspase_10_(complex)"	"component>"
"FAS/DAXX/FADD/Caspase_10_(complex)"	"FAS/DAXX/FADD/Caspase_10/FAS_L_(complex)"	"component>"
"FAS/DAXX_(complex)"	"FAS_L/FAS/DAXX_(complex)"	"component>"
"FAS/FADD/DAXX/ASK1/Caspase_8/Caspase_8/FAS_L_(complex)"	"BID"	"-a>"
"FAS/FADD/DAXX/ASK1/Caspase_8/Caspase_8/FAS_L_(complex)"	"Caspase_8/Caspase_8/Caspase_8/Caspase_8_(complex)"	"-a>"
"FAS/FADD/DAXX/ASK1/Caspase_8/Caspase_8/FAS_L_(complex)"	"MAP2K7"	"-a>"
"FAS/FADD/DAXX/Ask1/Caspase_8/Caspase_8/FASLG_(complex)"	"BID"	"-a|"
"FAS/FADD/DAXX/Ask1/Caspase_8/Caspase_8/FASLG_(complex)"	"Caspase_8_(4_units)_(complex)"	"-a|"
"FAS/FADD/DAXX/Ask1/Caspase_8/Caspase_8/FASLG_(complex)"	"MAP2K7"	"-a|"
"FAS/FADD/DAXX/ASK1/Caspase_8/Caspase_8_(complex)"	"FAS/FADD/DAXX/ASK1/Caspase_8/Caspase_8/FAS_L_(complex)"	"component>"
"FAS/FADD/DAXX/Ask1/Caspase_8/Caspase_8_(complex)"	"FAS/FADD/DAXX/Ask1/Caspase_8/Caspase_8/FASLG_(complex)"	"component>"
"FAS_(trimer)_(complex)"	"FAS_(trimer)/LFG_(complex)"	"component>"
"FAS_(trimer)_(complex)"	"FASLG/FAS_(trimer)_(complex)"	"component>"
"FAS_L/FAS/DAXX/ASK1_(complex)"	"MAP2K3"	"-a>"
"FAS_L/FAS/DAXX/ASK1_(complex)"	"MAP2K4"	"-a>"
"FAS_L/FAS/DAXX/ASK1_(complex)"	"MAP2K6"	"-a>"
"FAS_L/FAS/DAXX/FADD/FAF1/Caspase_10_(complex)"	"CASP7"	"-a>"
"FAS_L/FAS/DAXX/FADD/FAF1/Caspase_10_(complex)"	"MAP2K4"	"-a>"
"FAS_L/FAS/DAXX_(complex)"	"FAS_L/FAS/DAXX/ASK1_(complex)"	"component>"
"FAS_L/FAS_(complex)"	"FAS_L/FAS/DAXX_(complex)"	"component>"
"FASL/FAS_Receptor_monomer_(complex)"	"FASL/FAS_Receptor_Trimer_(complex)"	"component>"
"FASL/FAS_Receptor_Trimer/FADD_complex_(complex)"	"FASL/FAS_Receptor_Trimer/FADD/pro-Caspase-10_(complex)"	"component>"
"FASL/FAS_Receptor_Trimer/FADD_complex_(complex)"	"FASL/FAS_Receptor_Trimer/FADD/pro-Caspase-8_DISC_(complex)"	"component>"
"FASL/FAS_Receptor_Trimer_(complex)"	"FASL/FAS_Receptor_Trimer/FADD_complex_(complex)"	"component>"
"FASLG"	"apoptosis_(abstract)"	"-a>"
"FASLG"	"FAS/DAXX/FADD/Caspase_10/FAS_L_(complex)"	"component>"
"FASLG"	"FAS/FADD/DAXX/ASK1/Caspase_8/Caspase_8/FAS_L_(complex)"	"component>"
"FASLG"	"FAS/FADD/DAXX/Ask1/Caspase_8/Caspase_8/FASLG_(complex)"	"component>"
"FASLG"	"FAS_L/FAS/DAXX/ASK1_(complex)"	"component>"
"FASLG"	"FAS_L/FAS/DAXX/FADD/FAF1/Caspase_10_(complex)"	"component>"
"FASLG"	"FAS_L/FAS/DAXX_(complex)"	"component>"
"FASLG"	"FAS_L/FAS_(complex)"	"component>"
"FASLG"	"FASL/FAS_Receptor_monomer_(complex)"	"component>"
"FASLG"	"FASLG/FAS_(trimer)/Btk_(complex)"	"component>"
"FASLG"	"FASLG/FAS_(trimer)/FADD/FADD/CASP10/CASP10_(complex)"	"component>"
"FASLG"	"FASLG/FAS_(trimer)/FADD/FADD/CASP10_p23/17/c-FLIPL_p43_(complex)"	"component>"
"FASLG"	"FASLG/FAS_(trimer)/FADD/FADD/CASP8/CASP8_(complex)"	"component>"
"FASLG"	"FASLG/FAS_(trimer)/FADD/FADD/CASP8/c-FLIPS_(complex)"	"component>"
"FASLG"	"FASLG/FAS_(trimer)/FADD/FADD/CASP8_p43/c-FLIP_p43_(complex)"	"component>"
"FASLG"	"FASLG/FAS_(trimer)/FADD/FADD/CFLIP_(complex)"	"component>"
"FASLG"	"FASLG/FAS_(trimer)/FADD/FADD/RIP_(complex)"	"component>"
"FASLG"	"FASLG/FAS_(trimer)/FADD/FADD_(complex)"	"component>"
"FASLG"	"FASLG/FAS_(trimer)/Src/Syk_(complex)"	"component>"
"FASLG"	"FASLG/FAS_(trimer)_(complex)"	"component>"
"FASLG"	"FASLG_(trimer)_(complex)"	"component>"
"FASLG/FAS_(trimer)/FADD/FADD/CASP10/CASP10_(complex)"	"Caspase_10_(tetramer)/FADD/FADD_(complex)"	"component>"
"FASLG/FAS_(trimer)/FADD/FADD/CASP10/CASP10_(complex)"	"FASLG/FAS_(trimer)_(complex)"	"component>"
"FASLG/FAS_(trimer)/FADD/FADD/CASP8/CASP8_(complex)"	"Caspase_8_(tetramer)/FADD/FADD_(complex)"	"-a|"
"FASLG/FAS_(trimer)/FADD/FADD/CASP8/CASP8_(complex)"	"FADD/FADD/CASP8/CASP8_(complex)"	"component>"
"FASLG/FAS_(trimer)/FADD/FADD/CASP8/CASP8_(complex)"	"FASLG/FAS_(trimer)_(complex)"	"-a|"
"FASLG/FAS_(trimer)/FADD/FADD/CASP8/CASP8_(complex)"	"IKK_complex_(complex)"	"-a|"
"FASLG/FAS_(trimer)/FADD/FADD/RIP_(complex)"	"IKK_complex_(complex)"	"-a|"
"FASLG/FAS_(trimer)/FADD/FADD/RIP_(complex)"	"necroptosis_(abstract)"	"-a>"
"FASLG/FAS_(trimer)/FADD/FADD_(complex)"	"FASLG/FAS_(trimer)/FADD/FADD/CASP10/CASP10_(complex)"	"component>"
"FASLG/FAS_(trimer)/FADD/FADD_(complex)"	"FASLG/FAS_(trimer)/FADD/FADD/CASP10_p23/17/c-FLIPL_p43_(complex)"	"component>"
"FASLG/FAS_(trimer)/FADD/FADD_(complex)"	"FASLG/FAS_(trimer)/FADD/FADD/CASP8/CASP8_(complex)"	"component>"
"FASLG/FAS_(trimer)/FADD/FADD_(complex)"	"FASLG/FAS_(trimer)/FADD/FADD/CASP8/c-FLIPS_(complex)"	"component>"
"FASLG/FAS_(trimer)/FADD/FADD_(complex)"	"FASLG/FAS_(trimer)/FADD/FADD/CASP8_p43/c-FLIP_p43_(complex)"	"component>"
"FASLG/FAS_(trimer)/FADD/FADD_(complex)"	"FASLG/FAS_(trimer)/FADD/FADD/CFLIP_(complex)"	"component>"
"FASLG/FAS_(trimer)/FADD/FADD_(complex)"	"SMPD1"	"-a|"
"FASLG/FAS_(trimer)/Src/Syk_(complex)"	"PI3K_Class_IA_family_(family)"	"-a|"
"FASLG/FAS_(trimer)_(complex)"	"FASLG/FAS_(trimer)/Btk_(complex)"	"component>"
"FASLG/FAS_(trimer)_(complex)"	"FASLG/FAS_(trimer)/FADD/FADD/RIP_(complex)"	"component>"
"FASLG/FAS_(trimer)_(complex)"	"FASLG/FAS_(trimer)/FADD/FADD_(complex)"	"component>"
"FASLG/FAS_(trimer)_(complex)"	"FASLG/FAS_(trimer)/Src/Syk_(complex)"	"component>"
"FASLG/FAS_(trimer)_(complex)"	"MAP2K6"	"-a|"
"FASLG/FAS_(trimer)_(complex)"	"MAP2K7"	"-a|"
"FASLG/FAS_(trimer)_(complex)"	"neuron_projection_development_(abstract)"	"-a>"
"FASLG_(trimer)_(complex)"	"FASLG/FAS_(trimer)_(complex)"	"component>"
"FASN"	"FAS/DAXX/FADD/Caspase_10/FAS_L_(complex)"	"component>"
"FASN"	"FAS/DAXX/FADD/Caspase_10_(complex)"	"component>"
"FASN"	"FAS/DAXX_(complex)"	"component>"
"FASN"	"FAS/FADD/DAXX/ASK1/Caspase_8/Caspase_8/FAS_L_(complex)"	"component>"
"FASN"	"FAS/FADD/DAXX/ASK1/Caspase_8/Caspase_8_(complex)"	"component>"
"FASN"	"FAS_L/FAS/DAXX/ASK1_(complex)"	"component>"
"FASN"	"FAS_L/FAS/DAXX/FADD/FAF1/Caspase_10_(complex)"	"component>"
"FASN"	"FAS_L/FAS/DAXX_(complex)"	"component>"
"FASN"	"FAS_L/FAS_(complex)"	"component>"
"FASN"	"FASN_dimer_(complex)"	"component>"
"FAT1"	"Non-PPRE-Regulated_proteins_(family)"	"member>"
"FATP1/4/6_(family)"	"Long_chain_fatty_acids_(family)"	"-a>"
"Fatty_acid_ligands_of_GPR120_(family)"	"GPR120/_Fatty_Acid_Complex_(complex)"	"component>"
"Fatty_Acid_Ligands_That_Activate_PPAR-alpha_(family)"	"PPARA/_Fatty_Acid_Complex_(Activated_PPARA)_(complex)"	"component>"
"FAU"	"40S_ribosomal_complex_(complex)"	"component>"
"FB"	"Fb/C3_(-)_(complex)"	"component>"
"FB"	"Fb/C3b_(complex)"	"component>"
"Fb/C3_(-)_(complex)"	"Bb/C3_(-)_(complex)"	"component>"
"Fb/C3_(-)_(complex)"	"C3"	"-a>"
"Fb/C3_(-)_(complex)"	"C3b_(complex)"	"-a>"
"Fb/C3b_(complex)"	"Bb/C3b_(complex)"	"component>"
"FBLIM1"	"MIG-2/MIGFILIN_(complex)"	"component>"
"FBLIM1"	"Migfilin/Filamin_A/F-actin_(complex)"	"component>"
"FBLIM1"	"MIGFILIN/VASP_(complex)"	"component>"
"FBN1"	"alpha5/beta1_Integrin/Fibrillin-1_(complex)"	"component>"
"FBN1"	"alphav/beta3_Integrin/Fibrillin_(complex)"	"component>"
"FBN1"	"alphav/beta6_Integrin/Fibrillin-1_(complex)"	"component>"
"FBN1"	"Integrin_alphaVbeta3/Fibrillin-1_(complex)"	"component>"
"FBW7/SKP1/CUL1/CDC34_(complex)"	"protein_ubiquitination_(abstract)"	"-a>"
